[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,MEDIDAS MVSH - GRUPO AL/SI
FILEOPENTIME,25993437.09,11/21/2025,11:53 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Aluminio puro,SAMPLE_MATERIAL
INFO,Pelicula delgada de Al/Si,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,5.74mm x 2.80mm,SAMPLE_SIZE
INFO,Rectangular,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,25993490.38,299.9342957,6498.41,,,2,,,,6.64999997504056,,,,,,,299.9342957,299.9342957,6498.41,6498.41,,,30.708435,,,,-99999999,4961,300.5658,6498.41,,,,,,,,,,,,,,,,,,,,,,,299.9342957,,,,
,25993519.345,299.9564972,9998.7895,-9.43081928589473E-6,1.23103865159304E-6,1,0.999253354069792,40.0298881530762,2.00059830391883,6.64999987930059,-0.000102706678077614,-5.31908119809425E-6,0.25,1.15375251202086E-6,-9.43131901638433E-6,1.14748057804401E-6,299.9564819,299.9565125,9998.344,9999.235,53.1030599680249,19.1281992736921,30.33712,0,0,0,40,4929,300.55745,9998.7895,,,,,,,,,,,,,0,,,,21.61764145,,,,,,299.9564972,,,,
,25993530.29,299.960144,9962.0895,-8.64059433294967E-6,8.72654715735921E-7,1,0.999253354069792,40.0298881530762,2.00041444289086,6.63999980315566,-8.89731310462949E-5,-3.4086464876474E-5,0.25,-1.68313770632031E-6,-8.63923787554258E-6,-1.68880748138448E-6,299.960144,299.960144,9955.413,9968.766,52.3808352162555,19.1232786262375,30.708435,0,0,0,40,4961,300.5491,9962.0895,,,,,,,,,,,,,0,,,,21.4016914,,,,,,299.960144,,,,
,25993530.985,299.96005245,9915.5275,-8.44876277374871E-6,7.13431229835488E-7,1,0.999253354069792,40.0298881530762,2.00038019784527,6.64999987930059,-8.83743268416138E-5,-2.54659841019494E-5,0.25,-9.08195014096396E-7,-8.44792445706642E-6,-9.13759760396099E-7,299.9599609,299.960144,9875.642,9955.413,54.7132147176404,19.1302665953138,30.708435,0,0,0,40,4961,300.54575,9915.5275,,,,,,,,,,,,,0,,,,21.4016914,,,,,,299.96005245,,,,
,25993532.185,299.9598541,9834.4365,-9.22633264803006E-6,6.87414074605846E-7,1,0.999253354069792,40.0298881530762,2.00078540235358,6.63999980315566,-9.70752511797656E-5,-2.46829094719854E-5,0.25,-6.98034792915058E-7,-9.22561160441018E-6,-7.04119986129334E-7,299.9597473,299.9599609,9793.231,9875.642,54.200466409025,19.1346660444757,31.079807,0,0,0,40,4961,300.54745,9834.4365,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.9598541,,,,
,25993533.29,299.95999145,9759.9275,-8.99901300462806E-6,7.60676935635091E-7,1,0.999253354069792,40.0298881530762,2.00059570350109,6.63999980315566,-9.46450472492774E-5,-2.42431504276288E-5,0.25,-6.96833066156194E-7,-8.99829902121627E-6,-7.02768302229238E-7,299.9597473,299.9602356,9726.624,9793.231,53.5517147380633,19.1175003083788,30.708435,0,0,0,40,4961,300.5325,9759.9275,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.95999145,,,,
,25993535.245,299.960144,9637.816,-8.9232799801676E-6,6.67382194282507E-7,1,0.999253354069792,40.0298881530762,2.00047577315009,6.63999980315566,-9.34683295935908E-5,-2.61768301741594E-5,0.25,-8.9160762084604E-7,-8.92243921250568E-6,-8.97487119771565E-7,299.960144,299.960144,9631.043,9644.589,54.0441407051788,19.127739644926,30.708435,0,0,0,40,4961,300.5441,9637.816,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.960144,,,,
,25993536.72,299.9595642,9538.283,-7.8055628376057E-6,8.09377117210135E-7,1,0.999253354069792,40.0298881530762,2.00071420912564,6.63999980315566,-8.21023282464155E-5,-2.10036429107304E-5,0.25,-6.02020899703378E-7,-7.80494520643913E-6,-6.07169412176466E-7,299.9595642,299.9595642,9538.283,9538.283,52.5035508937748,19.1407034786107,30.33712,0,0,0,40,4961,300.5258,9538.283,,,,,,,,,,,,,0,,,,21.4016914,,,,,,299.9595642,,,,
,25993537.46,299.9598999,9500.183,-7.93321185078306E-6,6.92162934121249E-7,1,0.999253354069792,40.0298881530762,2.00067551900509,6.64999987930059,-8.28596764920145E-5,-2.46780929803728E-5,0.25,-9.24307654139027E-7,-7.93237730851801E-6,-9.2953130235996E-7,299.9595642,299.9602356,9462.083,9538.283,54.4021265669865,19.1261567879867,30.708435,0,0,0,40,4961,300.5408,9500.183,,,,,,,,,,,,,0,,,,21.61764145,,,,,,299.9598999,,,,
,25993538.61,299.96061705,9421.63,-8.36290579536917E-6,6.20920227594189E-7,1,0.999253354069792,40.0298881530762,2.00087412822911,6.63999980315566,-8.8080254051895E-5,-2.18839508108474E-5,0.25,-5.86757914348991E-7,-8.36228230700626E-6,-5.92275372387204E-7,299.9602356,299.9609985,9381.177,9462.083,54.3880572536404,19.1349281145618,30.708435,0,0,0,40,4961,300.5441,9421.63,,,,,,,,,,,,,0,,,,21.72506715,,,,,,299.96061705,,,,
,25993540.465,299.9601135,9300.083,-7.85289102361169E-6,7.60490078420706E-7,1,0.999253354069792,40.0298881530762,2.00054099054975,6.63999980315566,-8.06052139590092E-5,-3.24744674762161E-5,0.25,-1.66978434512061E-6,-7.85156543944088E-6,-1.6749336564546E-6,299.9601135,299.9601135,9300.083,9300.083,53.6603611022364,19.1255397745766,30.708435,0,0,0,40,4961,300.56075,9300.083,,,,,,,,,,,,,0,,,,21.6165428,,,,,,299.9601135,,,,
,25993541.125,299.96038815,9263.4865,-8.36741864780991E-6,6.8386328273904E-7,1,0.999253354069792,40.0298881530762,2.00079535555697,6.63000019267201,-8.75631903982578E-5,-2.5097934398716E-5,0.25,-8.87459867419053E-7,-8.36659613939956E-6,-8.92971794273392E-7,299.9601135,299.9606628,9226.89,9300.083,54.5045199030058,19.1263523579957,30.708435,0,0,0,40,4961,300.5541,9263.4865,,,,,,,,,,,,,0,,,,21.6165428,,,,,,299.96038815,,,,
,25993542.295,299.96046445,9187.3775,-8.31274074451236E-6,6.30262713676171E-7,1,0.999253354069792,40.0298881530762,2.000833203333,6.63999980315566,-8.68117407180152E-5,-2.59662706735159E-5,0.25,-9.78432477602166E-7,-8.31185956530254E-6,-9.83905589159278E-7,299.9602661,299.9606628,9147.865,9226.89,54.393528653275,19.109821245347,30.33712,0,0,0,40,4961,300.5608,9187.3775,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.96046445,,,,
,25993543.46,299.95988465,9116.5375,-8.24927818964521E-6,6.64105561692246E-7,1,0.999253354069792,40.0298881530762,2.0007329343272,6.63999980315566,-8.73146368789078E-5,-1.9091510801813E-5,0.25,-3.44917856056223E-7,-8.24881817427978E-6,-3.50366897080052E-7,299.9595032,299.9602661,9085.21,9147.865,54.0738425889096,19.1316786987922,30.708435,0,0,0,40,4961,300.5591,9116.5375,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.95988465,,,,
,25993545.42,299.95999145,8997.342,-7.6621083216391E-6,5.21129260713425E-7,1,0.999253354069792,40.0298881530762,2.00087461377166,6.63999980315566,-7.98077561910405E-5,-2.51377146262663E-5,0.25,-1.01469815819666E-6,-7.66122146566219E-6,-1.0197402636213E-6,299.9598999,299.960083,8997.342,8997.342,54.332561628775,19.1221654481781,30.708435,0,0,0,40,4961,300.5424,8997.342,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.95999145,,,,
,25993546.09,299.96058655,8958.2045,-8.120178105365E-6,6.54201995010468E-7,1,0.999253354069792,40.0298881530762,2.00079026592411,6.63000019267201,-8.48991557434695E-5,-2.47928815640943E-5,0.25,-9.021823049496E-7,-8.11935263661995E-6,-9.07530727583426E-7,299.9598999,299.9612732,8919.067,8997.342,54.6100397531019,19.1366087065347,30.708435,0,0,0,40,4961,300.5424,8958.2045,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.96058655,,,,
