P [Torr];t [s]
980;0.00
920;0.03
890;0.06
850;0.10
820;0.16
790;0.23
780;0.26
730;0.33
690;0.43
650;0.53
630;0.56
620;0.63
600;0.66
590;0.73
570;0.76
560;0.83
550;0.86
520;0.96
500;1.06
480;1.13
470;1.23
460;1.33
450;1.36
430;1.46
420;1.56
410;1.60
400;1.63
380;1.76
370;1.93
360;2.00
350;2.10
340;2.16
330;2.23
320;2.26
310;2.33
300;2.40
290;2.46
280;2.50
270;2.56
260;2.63
250;2.66
240;2.70
230;2.73
220;2.76
210;2.80
200;2.83
180;2.93
160;2.96
150;3.00
130;3.06
110;3.10
98;3.16
84;3.20
83;3.26
65;3.30
58;3.36
52;3.40
43;3.46
39;3.53
38;3.56
36;3.60
33;3.63
28;3.73
27;3.80
25;3.83
22;3.93
20;3.96
19;4.03
18;4.06
17;4.13
16;4.16
15;4.23
14;4.26
13;4.33
12;4.43
11;4.46
10;4.53
9.7;4.66
9.3;4.70
8.8;4.76
8.4;4.80
8.0;4.86
7.3;4.96
7.0;5.00
6.7;5.06
6.4;5.10
6.2;5.16
5.9;5.20
5.8;5.23
5.6;5.26
5.4;5.30
5.8;5.33
5.0;5.40
4.8;5.46
4.6;5.50
4.3;5.60
3.9;5.40
3.8;5.73
3.6;5.80
3.5;5.83
3.4;5.90
3.3;5.93
3.1;6.00
3.0;6.03
2.9;6.06
2.8;6.13
2.7;6.20
2.6;6.23
2.5;6.30
2.4;6.33
2.3;6.43
2.2;6.46
2.1;6.56
2.0;6.60
1.9;6.66
1.8;6.76
1.7;6.86
1.6;6.96
1.5;7.06
1.4;7.16
1.3;7.33
1.2;7.50
1.1;7.63
1.0;7.80
0.98;8.00
0.96;8.06
0.92;8.16
0.90;8.20
0.88;8.26
0.87;8.30
0.85;8.36
0.82;8.46
0.80;8.50
0.79;8.56
0.77;8.60
0.76;8.66
0.75;8.70
0.73;8.76
0.72;8.80
0.71;8.86
0.70;8.90
0.69;8.96
0.68;9.00
0.67;9.06
0.66;9.10
0.65;9.13
0.64;9.20
0.62;9.30
0.60;9.36
0.59;9.46
0.58;9.53
0.57;9.60
0.56;9.63
0.55;9.73
0.54;9.80
0.52;9.93
0.51;10.03
0.50;10.10
0.49;10.20
0.48;10.30
0.47;10.36
0.46;10.53
0.45;10.63
0.44;10.73
0.43;10.86
0.42;10.96
0.41;11.10
0.40;11.23
0.39;11.40
0.38;11.53
0.37;11.70
0.36;11.90
0.35;12.03
0.34;12.23
0.33;12.46
0.32;12.70
0.31;12.96
0.30;13.16
0.29;13.43
0.28;13.70
0.27;14.06
0.26;14.43
0.25;14.76
0.24;15.16
0.23;15.63
0.22;16.16
0.21;16.70
0.20;17.33
0.19;18.06
0.18;18.90
0.17;19.90
0.16;20.96
0.15;22.33
0.14;23.96
0.13;25.86
0.12;28.26
0.11;31.16
0.10;34.83
0.099;39.43
0.098;40.00
0.097;40.56
0.096;41.10
0.095;41.66
0.094;42.30
0.093;42.86
0.092;43.50
0.091;44.20
0.090;44.83
0.089;45.63
0.088;46.30
0.087;47.00
0.086;47.70
0.085;48.50
0.084;49.33
0.083;50.16
0.082;51.03
0.081;52.00
0.080;52.86
0.079;53.80
0.078;54.73
0.077;55.76
0.076;56.86
0.075;57.70
0.074;58.66
0.073;60.13
0.072;61.56
0.071;62.86
0.070;64.26
0.069;65.40
0.068;67.10
0.067;68.56
0.066;70.03
0.065;71.60
0.064;73.40
0.063;74.96
0.062;76.76
0.061;78.56
0.060;80.46
0.059;82.53
0.058;84.66
0.057;86.83
0.056;89.10
0.055;91.46
0.054;94.13
0.053;96.66
0.052;99.63
0.051;102.36
0.050;105.43
0.049;108.76
0.048;112.16
0.047;115.73
0.046;119.73
0.045;123.66
0.044;127.93
0.043;132.56
0.042;137.33
0.041;142.50
0.040;147.80
0.039;153.50
0.038;159.86
0.037;166.43
0.036;173.80
0.035;181.03
0.034;189.26
0.033;199.13
0.032;207.86
0.031;218.30
0.030;229.30
