P [Torr];t [s]
970;0.00
930;0.03
900;0.10
860;0.13
830;0.20
800;0.23
790;0.30
750;0.33
730;0.40
700;0.43
680;0.50
670;0.53
650;0.56
630;0.63
620;0.70
600;0.73
590;0.80
570;0.83
560;0.86
550;0.93
540;0.96
530;1.03
520;1.06
510;1.13
500;1.16
480;1.23
460;1.36
450;1.43
440;1.50
430;1.56
420;1.66
400;1.73
390;1.86
380;1.90
370;2.00
360;2.10
350;2.16
340;2.23
330;2.30
320;2.36
310;2.43
300;2.46
290;2.53
280;2.60
270;2.63
260;2.66
250;2.73
240;2.76
230;2.80
220;2.83
210;2.86
200;2.90
190;2.93
180;2.96
160;3.03
140;3.06
120;3.13
110;3.16
95;3.23
81;3.26
71;3.33
63;3.36
58;3.40
56;3.43
50;3.46
48;3.50
45;3.53
42;3.60
38;3.66
35;3.70
32;3.73
30;3.80
28;3.83
26;3.90
24;3.93
23;4.00
21;4.03
20;4.06
19;4.13
18;4.16
17;4.23
16;4.30
15;4.33
14;4.36
13;4.43
12;4.53
11;4.56
10;4.66
9.6;4.76
9.2;4.83
8.7;4.86
8.3;4.90
8.0;4.96
7.8;5.03
7.3;5.06
7.0;5.10
6.7;5.16
6.4;5.20
6.1;5.26
5.9;5.30
5.8;5.33
5.6;5.36
5.4;5.40
5.2;5.46
5.0;5.50
4.8;5.56
4.6;5.60
4.5;5.63
4.4;5.66
4.2;5.70
4.1;5.73
3.9;5.80
3.8;5.83
3.6;5.90
3.5;5.96
3.4;6.00
3.3;6.06
3.1;6.10
3.0;6.13
2.9;6.20
2.8;6.23
2.7;6.30
2.6;6.33
2.5;6.40
2.4;6.46
2.3;6.53
2.2;6.60
2.1;6.66
2.0;6.70
1.9;6.80
1.8;6.86
1.7;6.96
1.6;7.06
1.5;7.16
1.4;7.26
1.3;7.36
1.2;7.50
1.1;7.66
1.0;7.83
0.99;8.00
0.97;8.03
0.95;8.06
0.92;8.13
0.90;8.20
0.88;8.23
0.86;8.30
0.84;8.33
0.82;8.36
0.80;8.43
0.79;8.50
0.77;8.53
0.75;8.60
0.74;8.63
0.73;8.66
0.72;8.70
0.71;8.73
0.68;8.80
0.65;8.93
0.64;9.00
0.63;9.06
0.62;9.10
0.61;9.16
0.60;9.20
0.58;9.26
0.56;9.40
0.55;9.46
0.54;9.50
0.53;9.53
0.52;9.60
0.51;9.63
0.50;9.66
0.49;9.80
0.48;9.83
0.47;9.90
0.46;10.00
0.45;10.03
0.44;10.13
0.43;10.20
0.42;10.30
0.41;10.40
0.40;10.46
0.39;10.53
0.38;10.63
0.37;10.76
0.36;10.90
0.35;10.96
0.34;11.13
0.33;11.26
0.32;11.40
0.31;11.56
0.30;11.70
0.29;11.86
0.28;12.03
0.27;12.30
0.26;12.46
0.25;12.73
0.24;12.96
0.23;13.26
0.22;13.63
0.21;14.00
0.20;14.36
0.19;14.86
0.18;15.36
0.17;15.96
0.16;16.70
0.15;17.56
0.14;18.60
0.13;19.80
0.12;21.46
0.11;23.40
0.10;25.96
0.099;29.36
0.098;29.60
0.097;30.03
0.096;30.46
0.095;30.86
0.094;31.30
0.093;31.73
0.092;32.16
0.091;32.66
0.090;33.13
0.089;33.63
0.088;34.10
0.087;34.66
0.086;35.13
0.085;35.73
0.084;36.36
0.083;36.96
0.082;37.56
0.081;38.20
0.080;38.80
0.079;39.50
0.078;40.20
0.077;40.90
0.076;41.73
0.075;42.43
0.074;43.26
0.073;44.03
0.072;44.93
0.071;45.86
0.070;46.80
0.069;47.80
0.068;48.76
0.067;49.80
0.066;50.90
0.065;52.00
0.064;53.26
0.063;54.46
0.062;55.73
0.061;57.00
0.060;58.46
0.059;59.90
0.058;61.40
0.057;63.06
0.056;64.70
0.055;66.40
0.054;68.30
0.053;70.26
0.052;72.30
0.051;74.43
0.050;76.60
0.049;79.06
0.048;81.53
0.047;84.20
0.046;87.10
0.045;90.03
0.044;93.33
0.043;96.70
0.042;100.36
0.041;104.10
0.040;108.20
0.039;112.53
0.038;118.83
0.037;124.23
0.036;129.60
0.035;135.13
0.034;141.13
0.033;147.63
0.032;155.06
0.031;163.30
0.030;172.23
